SDS-Number,Product Name,Manufacturer,SDS-Number,LL Number,Chemical Component,CAS Number,% Context,Min %,Max %,Avg %,% Range,SARA 313 %
SDS-005075,004013-LeukoCount blue,Bioanalytic GmbH,SDS-005075,,Acetic Acid,64-19-7,n/a,2.50%,10.00%,6.25%,2.5 - 10%,0.00%
SDS-005090,004015-ThromboCount pur,Bioanalytic GmbH,SDS-005090,,"Water, Distilled, Conductivity or of Similar Purity",7732-18-5,Balance,100.00%,100.00%,100.00%, ,0.00%
SDS-003181,004015- ThromboCount pur Thrombo-TIC,Bioanalytic GmbH,SDS-003181,10114798,"Water, Distilled, Conductivity or of Similar Purity",7732-18-5,Blank (percentage not specified),0.00%,100.00%,50.00%, ,0.00%
SDS-003104,0.5 McFarland Barium Sulfate Standard,Trek Diagnostic Systems,SDS-003104,,Sulfuric Acid 1%,7664-93-9,n/a,0.00%,99.50%,49.75%,Approx 99.5%,0.00%
SDS-003104,0.5 McFarland Barium Sulfate Standard,Trek Diagnostic Systems,SDS-003104,,Barium Sulfate,7727-43-7,n/a,0.00%,0.50%,0.25%,Approx 0.5%,0.00%
SDS-003103,0.5 Mc Farland Standard,Trek Diagnostic Systems,SDS-003103,10134978,"Styrene, Divinylbenzene", ,Blank (percentage not specified),0.00%,100.00%,50.00%, ,0.00%
SDS-004873,"0.9% Sodium Chloride (Saline) Solution. 100mL, Sterile","Teknova, Inc.",SDS-004873,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-008186,1000 µg/mL Sodium,"Spex Certiprep, LLC",SDS-008186,,"Water, Distilled, Conductivity or of Similar Purity",7732-18-5,n/a,97.90%,97.90%,97.90%,97.90%,0.00%
SDS-008186,1000 µg/mL Sodium,"Spex Certiprep, LLC",SDS-008186,,Nitric Acid,7697-37-2,n/a,2.00%,2.00%,2.00%,2.00%,0.00%
SDS-008186,1000 µg/mL Sodium,"Spex Certiprep, LLC",SDS-008186,,Sodium From Sodium Carbonate,7440-23-5,n/a,0.10%,0.10%,0.10%,0.10%,0.00%
SDS-008189,1000 µg/mL Thorium,"Spex Certiprep, LLC",SDS-008189,,"Water, Distilled, Conductivity or of Similar Purity",7732-18-5,n/a,97.90%,97.90%,97.90%,97.90%,0.00%
SDS-008189,1000 µg/mL Thorium,"Spex Certiprep, LLC",SDS-008189,,Nitric Acid,7697-37-2,n/a,2.00%,2.00%,2.00%,2.00%,0.00%
SDS-008189,1000 µg/mL Thorium,"Spex Certiprep, LLC",SDS-008189,,Thorium from Thorium nitrate hydrate,7440-29-1,n/a,0.10%,0.10%,0.10%,0.10%,0.00%
SDS-007765,"10,000 µg/mL Calcium","Spex Certiprep, LLC",SDS-007765,,"Water, Distilled, Conductivity or of Similar Purity",7732-18-5,n/a,92.51%,92.51%,92.51%,92.51%,0.00%
SDS-007765,"10,000 µg/mL Calcium","Spex Certiprep, LLC",SDS-007765,,Nitric Acid,7697-37-2,n/a,5.00%,5.00%,5.00%,5.00%,0.00%
SDS-007765,"10,000 µg/mL Calcium","Spex Certiprep, LLC",SDS-007765,,Calcium Carbonate,471-34-1,n/a,2.49%,2.49%,2.49%,2.49%,0.00%
SDS-008180,"10,000 mg/L Magnesium","Spex Certiprep, LLC",SDS-008180,,"Water, Distilled, Conductivity or of Similar Purity",7732-18-5,n/a,94.00%,94.00%,94.00%,94.00%,0.00%
SDS-008180,"10,000 mg/L Magnesium","Spex Certiprep, LLC",SDS-008180,,Nitric Acid,7697-37-2,n/a,5.00%,5.00%,5.00%,5.00%,0.00%
SDS-008180,"10,000 mg/L Magnesium","Spex Certiprep, LLC",SDS-008180,,Magnesium,7439-95-4,n/a,1.00%,1.00%,1.00%,1.00%,0.00%
SDS-008179,"10,000 mg/L Potassium","Spex Certiprep, LLC",SDS-008179,,"Water, Distilled, Conductivity or of Similar Purity",7732-18-5,n/a,92.43%,92.43%,92.43%,92.43%,0.00%
SDS-008179,"10,000 mg/L Potassium","Spex Certiprep, LLC",SDS-008179,,Nitric Acid,7697-37-2,n/a,5.00%,5.00%,5.00%,5.00%,0.00%
SDS-008179,"10,000 mg/L Potassium","Spex Certiprep, LLC",SDS-008179,,Potassium From Potassium Nitrate,9/7/7440,n/a,2.57%,2.57%,2.57%,2.57%,0.00%
